Name	Dependency_score	ROS1_MUT	ZNF423_MUT	CREB1_MUT	ATM_MUT	CIC_MUT	PKN1_MUT	FSCB_MUT	EIF4B_MUT	PAK4_MUT	MAP3K8_MUT	PARP1_MUT	EEF1D_MUT	EPS15_MUT	DSTYK_MUT	NIPBL_MUT	CHD5_MUT	HOXA13_MUT	RHOA_MUT	AFF3_MUT	MLL_MUT	NFKB1_MUT	NFKB2_MUT	PLAG1_MUT	PLD1_MUT	RIOK2_MUT	MAPK1_MUT	MAPK10_MUT	MAPK13_MUT	PSKH1_MUT	RBBP8_MUT	RPS6KA3_MUT	PCDH15_MUT	SORL1_MUT	BRDT_MUT	STAT3_MUT	HNF1A_MUT	TEC_MUT	BUB1B_MUT	TMPO_MUT	HSP90B1_MUT	WRN_MUT	CASP2_MUT	BRIP1_MUT	MAP4K3_MUT	PSKH2_MUT	RUNX1T1_MUT	KALRN_MUT	PKMYT1_MUT	USP6_MUT	LATS1_MUT	TBCK_MUT	ACVR2B_MUT	RECQL4_MUT	ARHGAP29_MUT	TNFRSF8_MUT	PDE4DIP_MUT	TNNI3K_MUT
BT474_BREAST	-1.885390823	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EFM19_BREAST	-1.036723575	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDAMB453_BREAST	-0.953776254	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC2218_BREAST	-0.905766063	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC1187_BREAST	-0.85250417	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC1954_BREAST	-0.782688004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZR7530_BREAST	-0.726763686	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL120_BREAST	-0.515493905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BT20_BREAST	-0.446895578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC70_BREAST	-0.409148507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCF7_BREAST	-0.25601319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL51_BREAST	0.107284073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC1395_BREAST	0.48737579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
